,Code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Percentage daily smokers,TBL rate
2883,XKX,1998,,,,,,,,,
2884,XKX,1999,,,,,,,,,
2885,XKX,2000,,,,,,,,,
2886,XKX,2001,,,,,,,,,
2887,XKX,2002,,,,,,,,,
2888,XKX,2003,,,,,,,,,
2889,XKX,2004,,,,,,,,,
2890,XKX,2005,,,,,,,,,
2891,XKX,2006,,,,,,,,,
2892,XKX,2007,,,,,,,,,
2893,XKX,2008,,,,,,,,,
2894,XKX,2009,,,,,,,,,
2895,XKX,2010,,,,,,,,,
2896,XKX,2011,,,,,,,,,
2897,XKX,2012,,,,,,,,,
2898,KWT,1990,5.244770202020201,11.03964758698092,8.197910774410774,0.038207562289562284,17.422557239057237,0.0753826655443322,0.4944583613916947,19.799999,12.504681641280536
2899,KWT,1991,2.5182449494949495,11.454796296296296,12.186705948372616,0.6183516273849607,10.271085858585858,1.4304269921436588,0.3045389618406285,19.799999,10.764590450861297
2900,KWT,1992,5.418026374859708,6.529084736251402,9.374960718294052,0.049772407407407404,19.589597081930414,0.1003084736251403,0.3400844388327722,20.299999,9.898953833686091
2901,KWT,1993,5.832338159371493,4.951402918069585,9.741027497194164,0.04888450617283951,32.69486195286195,0.09186024130190797,0.4322625925925926,21.4,10.667294456617132
2902,KWT,1994,6.464803872053872,7.266443322109989,9.9025,0.05209705948372615,34.052615039281704,0.10084319865319864,0.4829604377104377,22.5,11.16737453474525
2903,KWT,1995,6.380393939393939,6.697267676767677,10.459274971941639,0.053294586419753084,33.81540404040404,0.10205107744107744,0.4973479797979798,23.4,12.107978048417618
2904,KWT,1996,6.151933221099887,5.874341189674523,10.878354657687991,0.05090860549943883,33.54502244668912,0.09514100448933782,0.5654863636363636,23.700001,11.88453596817974
2905,KWT,1997,6.288162177328844,6.668483164983165,11.878737373737374,0.053841748597081934,33.048372615039284,0.1073262962962963,0.5633227833894501,23.700001,13.182590006044416
2906,KWT,1998,7.403315375982042,11.579927609427608,11.598652076318743,0.05778738496071829,33.07430415263749,0.12081563411896745,0.6122151515151516,23.4,12.17822673848836
2907,KWT,1999,8.150698092031426,16.01549158249158,11.726167789001122,0.061496627384960714,30.06523905723906,0.13471856341189675,0.6579120089786756,23.0,12.93371763633991
2908,KWT,2000,8.517429854096521,17.857338945005612,12.443096520763188,0.06231636924803591,31.30084175084175,0.14032536475869808,0.6326913019079685,22.799999,12.819323482670162
2909,KWT,2001,9.188002244668912,21.50968574635241,12.61043771043771,0.06483548260381594,30.244503928170598,0.15262729517396184,0.6734814814814815,22.6,11.091879444953916
2910,KWT,2002,9.65501795735129,24.09315544332211,13.183250280583612,0.07970328843995511,27.047381593714928,0.22385900673400674,0.687791975308642,22.5,11.62283346056219
2911,KWT,2003,9.413529741863076,22.348884399551064,12.989079685746352,0.09030868686868687,31.322003367003365,0.2765884736251403,0.7110514870931538,22.6,11.5823081739512
2912,KWT,2004,9.446269921436588,23.782561728395063,12.729511784511784,0.09083222222222223,33.072303030303026,0.27717112794612797,0.6978796296296297,22.799999,11.765165621703924
2913,KWT,2005,10.847920875420876,27.820239057239057,12.040876543209878,0.09920296857463524,35.773395061728394,0.3086272895622896,0.7646361952861952,23.0,11.952380442227906
2914,KWT,2006,10.99927160493827,27.583877665544332,11.090547699214365,0.10600664983164984,34.11795398428731,0.3326874691358025,0.7676830527497194,23.200001,12.450483569252498
2915,KWT,2007,10.911145342312008,28.125769921436586,10.07525364758698,0.10946413580246914,30.585185185185185,0.353314253647587,0.7919716610549944,23.5,12.177738653211758
2916,KWT,2008,11.435001122334455,28.469365881032548,9.250544332211,0.10130132996632996,29.26348709315376,0.3022814814814815,0.8513155443322109,23.700001,13.19848983600565
2917,KWT,2009,13.423680134680135,28.326842873176208,8.428644219977553,0.09971581369248035,23.480071829405162,0.28181352413019084,0.9273750841750842,23.9,12.149134314683977
2918,KWT,2010,12.630341750841751,27.22228507295174,8.277283389450057,0.10072342312008979,22.43225140291807,0.28587654320987654,0.825666610549944,24.0,10.707875200564454
2919,KWT,2011,12.022764870931539,25.757905723905726,7.998076318742985,0.0929076711560045,25.20259820426487,0.27064750280583616,0.9265405723905724,24.200001,10.173482286888106
2920,KWT,2012,11.414028058361392,24.679803591470257,8.281654320987654,0.14124765432098765,27.72903367003367,0.5153152076318742,0.9930803030303029,24.4,10.670083189017204
2921,KGZ,1990,0.6771708427106776,0.6032718679669917,3.668125781445361,0.08978491622905725,0.6608889722430608,0.016507671917979493,0.062454108527131784,22.1,26.533300273373783
2922,KGZ,1991,0.6163894473618405,0.597460015003751,3.236696674168542,0.09167455863965993,0.6386895923980995,0.01579922480620155,0.06295644411102776,22.1,26.341602082379687
2923,KGZ,1992,0.4915290322580645,0.4243034758689672,2.8517254313578393,0.09177958489622406,0.6128387096774194,0.013788958739684921,0.06312871717929482,21.9,25.79971279523404
2924,KGZ,1993,0.37516804201050263,0.3599143785946487,2.3606403100775197,0.09149019754938735,0.5780716679169792,0.011709055263815955,0.0631646511627907,21.6,25.68825125085915
2925,KGZ,1994,0.2454529232308077,0.2949044111027757,1.585919779944986,0.08994239559889973,0.5192877219304827,0.009763881470367592,0.06319570892723181,20.799999,25.49467349460827
2926,KGZ,1995,0.2510190547636909,0.15573614903725932,2.184693073268317,0.08994332583145787,0.5529442860715179,0.010139906976744186,0.06368700175043761,19.9,24.061312641351577
2927,KGZ,1996,0.3030426356589147,0.21661762940735182,2.4938253563390846,0.09054254563640911,0.5697937784446112,0.01064135183795949,0.06453525381345336,19.1,21.892843971141872
2928,KGZ,1997,0.3145195298824706,0.2146673168292073,2.779784446111528,0.09113538884721181,0.5873780945236309,0.010512168042010502,0.06549972993248313,18.5,20.29460041883354
2929,KGZ,1998,0.3136078019504876,0.21647614903725934,2.7836181045261315,0.09173840460115029,0.585659664916229,0.01050161840460115,0.06653919479869967,18.0,18.60624937868526
2930,KGZ,1999,0.2949717679419855,0.20182295573893475,2.4946635158789694,0.09254159039759939,0.5703465366341585,0.010809004751187797,0.06741245311327833,17.6,17.0244709268644
2931,KGZ,2000,0.2535400850212553,0.17508224556139035,2.0600833208302074,0.09339986496624156,0.5479074768692174,0.010548588147036759,0.06814252063015754,17.4,15.744744345434455
2932,KGZ,2001,0.23439943985996498,0.12784369092273068,2.0373648412103025,0.09431754438609653,0.5511850962740685,0.010840411602900725,0.06797664416104027,17.299999,15.020947348161725
2933,KGZ,2002,0.23082020505126283,0.17787111777944487,2.0229377344336084,0.09456484121030258,0.5512854213553389,0.010384721180295075,0.06944113528382095,17.200001,14.802284241301008
2934,KGZ,2003,0.267328767191798,0.21163650912728182,2.0313042260565144,0.09527494373593398,0.5552036009002251,0.010657450862715679,0.07028272068017005,17.5,14.769704964358588
2935,KGZ,2004,0.2657349337334333,0.2076660765191298,2.05433168292073,0.09605922980745187,0.5584851712928232,0.011211549387346836,0.07155566891722931,17.9,14.218170962268388
2936,KGZ,2005,0.2766145836459115,0.2201788747186797,2.0997068267066767,0.0991310527631908,0.5593126281570392,0.011533444861215303,0.07286811702925731,18.200001,14.04046622334718
2937,KGZ,2006,0.27433891472868216,0.21447269817454362,2.1596391097774443,0.10094069517379345,0.5594936734183545,0.011756440110027508,0.07409085271317829,18.200001,14.238264184295437
2938,KGZ,2007,0.30471459864966244,0.24258649662415602,2.237555788947237,0.101451727931983,0.5694561640410102,0.013883670917729431,0.07533495873968492,18.200001,14.004404221457914
2939,KGZ,2008,0.3231656564141035,0.2647000400100025,2.563628707176794,0.10373095273818456,0.5950031507876969,0.014829621905476369,0.07658555638909727,18.200001,13.549770495823491
2940,KGZ,2009,0.3656202960344674,0.19376372096439823,2.7280010869959126,0.10913783801709596,0.6098547010375399,0.015191278479307567,0.07764121699390343,18.200001,13.266288604580144
2941,KGZ,2010,0.3280332920825808,0.22444247844836218,2.487023342377632,0.10962619253796062,0.6033979046805782,0.015388543778105921,0.0787893897555324,18.1,13.277727529646564
2942,KGZ,2011,0.4087342192428167,0.22849253613396933,2.9350736864643907,0.11497791212192875,0.6338933104134267,0.017108164747866864,0.08022687128524665,18.1,13.293554525862405
2943,KGZ,2012,0.5130824760102405,0.5065315756585981,3.7593535617333678,0.11632286005738376,0.6836864266855543,0.019434155330035813,0.08192288373529617,18.1,13.28195583799007
2944,LAO,1990,0.12584648226351353,0.013710144847972974,0.959520481418919,0.046656397804054055,0.28204721283783785,0.01170450760135135,0.2204000929054054,34.0,26.86074312187387
